obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""516.011""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""516.243""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""516.740""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""518.043""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""518.514""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""518.847""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""520.260""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""521.075""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""522.638""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""524.493""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""527.888""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""528.152""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""529.629""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""529.826""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""530.345""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""531.288""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""532.274""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""533.232""","=""""","=""22""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""533.991""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""535.239""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""535.341""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""536.405""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""536.484""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""537.088""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""538.387""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""538.664""","=""""","=""270""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""538.815""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""539.268""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""539.738""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""540.663""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""540.912""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""541.544""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""542.337""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""542.787""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""542.993""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""543.927""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""544.192""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""545.008""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.644""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.892""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""547.985""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""548.235""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""548.268""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""548.761""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""550.365""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""550.940""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""551.864""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""551.958""","=""""","=""10""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""552.995""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""553.384""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""553.900""","=""""","=""45""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""554.686""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""561.367""","=""""","=""12""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""562.170""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""562.509""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""566.608""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""566.785""","=""""","=""20""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""568.248""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""568.700""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""571.047""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""573.729""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""579.935""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""584.894""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""586.990""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""587.113""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""588.143""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""588.725""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""590.273""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""592.677""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""593.684""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""595.700""","=""""","=""110""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""598.589""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""599.703""","=""""","=""17""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""600.271""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""602.703""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""603.428""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""604.752""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""605.091""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""606.452""","=""""","=""140""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""612.252""","=""""","=""50""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""612.360""","=""""","=""170""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""612.654""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""612.914""","=""""","=""680""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""613.625""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""614.216""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""614.490""","=""""","=""440""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""615.731""","=""""","=""30""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""615.941""","=""""","=""75""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""616.190""","=""""","=""25""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""619.111""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""619.467""","=""""","=""60""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""621.477""","=""""","=""85""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""621.641""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""625.899""","=""""","=""100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""626.879""","=""""","=""35""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""630.140""","=""""","=""120""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""630.608""","=""""","=""15""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
