obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1598.0""","=""""","=""7.79e+02""",E,"=""126.5286""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""3""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""2""",7,5,,"=""c57,LS""","=""""",
"=""""","=""1598.0""","=""""","=""4.44e+03""",D+,"=""126.5286""","=""127.304""","=""2s.2p4.(2D).3s""","=""3D""","=""3""","=""2s2.2p3.(4S*).5d?""","=""3D*?""","=""3""",7,7,,"=""c57,LS""","=""""",
"=""""","=""3446""","=""""","=""1.42e+03""",C,"=""126.169""","=""126.5286""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""","=""2s.2p4.(2D).3s""","=""3D""","=""3""",5,7,,"=""c57,LS""","=""""",
"=""""","=""3573""","=""""","=""3.18e+02""",D,"=""126.169""","=""126.5158""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""","=""2s.2p4.(2D).3s""","=""3D""","=""2""",5,5,,"=""c57,LS""","=""""",
"=""""","=""3670""","=""""","=""3.26e+01""",E,"=""126.169""","=""126.5067""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""2""","=""2s.2p4.(2D).3s""","=""3D""","=""1""",5,3,,"=""c57,LS""","=""""",
"=""""","=""3965.4""","=""""","=""9.74e-07""",B+,"=""0.00000""","=""0.31266""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""0""",5,1,E2,"=""T7370c15,T6146,T6781""","=""""",
"=""""","=""4000.5""","=""""","=""9.03e-07""",B,"=""35.11385""","=""35.42377""","=""2s.2p5""","=""3P*""","=""2""","=""2s.2p5""","=""3P*""","=""0""",5,1,E2,"=""T6146""","=""""",
"=""""","=""4134""","=""""","=""6.16e+02""",C,"=""126.22""","=""126.5158""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""","=""2s.2p4.(2D).3s""","=""3D""","=""2""",3,5,,"=""c57,LS""","=""""",
"=""""","=""4264""","=""""","=""3.12e+02""",D,"=""126.22""","=""126.5067""","=""2s2.2p3.(2D*).4d""","=""3P*""","=""1""","=""2s.2p4.(2D).3s""","=""3D""","=""1""",3,3,,"=""c57,LS""","=""""",
"=""5599.0""","=""5608.2""","=""""","=""1.27e-01""",A,"=""0.00000""","=""0.22108""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""1""",5,3,M1,"=""T7370c15,T6146,T6781""","=""L3929""",
"=""""","=""5608.2""","=""""","=""1.28e-07""",B+,"=""0.00000""","=""0.22108""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""3P""","=""1""",5,3,E2,"=""T7370c15,T6146""","=""""",
"=""""","=""6188.1""","=""""","=""7.79e-08""",B,"=""35.11385""","=""35.31421""","=""2s.2p5""","=""3P*""","=""2""","=""2s.2p5""","=""3P*""","=""1""",5,3,E2,"=""T6146""","=""""",
"=""""","=""6188.1""","=""""","=""9.57e-02""",A,"=""35.11385""","=""35.31421""","=""2s.2p5""","=""3P*""","=""2""","=""2s.2p5""","=""3P*""","=""1""",5,3,M1,"=""T7370c16,T6146""","=""""",
"=""""","=""11316""","=""""","=""3.70e-02""",A,"=""35.31421""","=""35.42377""","=""2s.2p5""","=""3P*""","=""1""","=""2s.2p5""","=""3P*""","=""0""",3,1,M1,"=""T7370c16,T6146""","=""""",
"=""""","=""13537""","=""""","=""2.19e-02""",A,"=""0.22108""","=""0.31266""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""3P""","=""0""",3,1,M1,"=""T7370c15,T6146,T6781""","=""""",
"=""""","=""133000""","=""""","=""5.67e-06""",B,"=""93.8022""","=""93.8115""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",3,5,M1,"=""T7370c16""","=""""",
"=""""","=""480000""","=""""","=""1.66e-07""",B,"=""93.7996""","=""93.8022""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",1,3,M1,"=""T7370c16""","=""""",
"=""""","=""480000""","=""""","=""2.32e-07""",B+,"=""90.2285""","=""90.2311""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""3""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""",7,5,M1,"=""T7370c16""","=""""",
"=""""","=""530000""","=""""","=""2.77e-07""",B+,"=""90.2311""","=""90.2335""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""2""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",5,3,M1,"=""T7370c16""","=""""",
