obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""43.61814""","=""0.00020""","=""""","=""5.68e-05""",E,"=""30.33740""","=""58.76231+x""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",3,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""43.61814""","=""0.00020""","=""""","=""2.66e-02""",D+,"=""30.33740""","=""58.76231+x""","=""2s.2p5""","=""3P*""","=""1""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",3,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""43.72326""","=""0.00021""","=""""","=""1.06e-02""",D+,"=""30.40574""","=""58.76231+x""","=""2s.2p5""","=""3P*""","=""0""","=""2s2.2p3.(4S*).3s""","=""5S*""","=""2""",1,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""43.7243""","=""0.0019""","=""""","=""6.78e+03""",E,"=""42.61188""","=""70.9678""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""2""",3,5,,"=""T7663c11""","=""""",
"=""""","=""""","=""43.7270""","=""0.0019""","=""""","=""4.97e+06""",D+,"=""42.61188""","=""70.9660""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""",3,3,,"=""T7663c11""","=""""",
"=""""","=""""","=""44.0267""","=""0.0005""","=""""","=""1.69e+10""",C+,"=""42.61188""","=""70.77303""","=""2s.2p5""","=""1P*""","=""1""","=""2p6""","=""1S""","=""0""",3,1,,"=""T7663c11""","=""""",
"=""""","=""""","=""46.7622""","=""0.0003""","=""""","=""1.16e+05""",D,"=""3.82365""","=""30.33740""","=""2s2.2p4""","=""1D""","=""2""","=""2s.2p5""","=""3P*""","=""1""",5,3,,"=""T7663c11,T6145""","=""""",
"=""""","=""""","=""46.9832""","=""0.0003""","=""""","=""1.60e+06""",C,"=""3.82365""","=""30.21271""","=""2s2.2p4""","=""1D""","=""2""","=""2s.2p5""","=""3P*""","=""2""",5,5,,"=""T7663c11,T6145""","=""""",
"=""""","=""""","=""48.4266""","=""0.0024""","=""""","=""1.31e-04""",E,"=""42.61188""","=""68.2144""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",3,5,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""48.4266""","=""0.0024""","=""""","=""8.39e-01""",C,"=""42.61188""","=""68.2144""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""2""",3,5,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""48.4332""","=""0.0024""","=""""","=""7.40e-04""",E,"=""42.61188""","=""68.2109?""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""0""",3,1,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""48.4334""","=""0.0024""","=""""","=""1.87e-04""",E,"=""42.61188""","=""68.2108""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",3,3,M1,"=""T7663c11""","=""""",
"=""""","=""""","=""48.4334""","=""0.0024""","=""""","=""4.77e-04""",D,"=""42.61188""","=""68.2108""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2P*).3s""","=""3P*""","=""1""",3,3,E2,"=""T7663c11""","=""""",
"=""""","=""""","=""55.111""","=""0.003""","=""""","=""7.38e-02""",C,"=""42.61188""","=""65.1089""","=""2s.2p5""","=""1P*""","=""1""","=""2s2.2p3.(2D*).3s""","=""3D*""","=""1""",3,3,E2,"=""T7663c11""","=""""",
