obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""15.160""","=""0.001""","=""15.1586""","=""0.0010""","=""3bl""","=""""",,"=""269.04164""","=""350.833""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.4d""","=""3D*""","=""3""",7,7,,"=""""","=""L4421""",
"=""15.2072""","=""0.0008""","=""15.2071""","=""0.0006""","=""3""","=""""",,"=""269.15999""","=""350.690""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.4d""","=""1D*""","=""2""",5,5,,"=""""","=""L4421""",
"=""15.2354""","=""0.0008""","=""15.2355""","=""0.0006""","=""3""","=""""",,"=""269.04164""","=""350.420""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.4d""","=""3F*""","=""3""",7,7,,"=""""","=""L4421""",
"=""15.2577""","=""0.0008""","=""15.2576""","=""0.0006""","=""8bl""","=""""",,"=""269.15999""","=""350.420""","=""2s2.2p5.3p""","=""3D""","=""2""","=""2s2.2p5.4d""","=""3F*""","=""3""",5,7,,"=""""","=""L4421""",
"=""15.2692""","=""0.0008""","=""15.2690""","=""0.0005""","=""9*""","=""""",,"=""271.42678""","=""352.627""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.4d""","=""3F*""","=""2""",3,5,,"=""""","=""L4421""",
"=""15.2692""","=""0.0008""","=""15.2692""","=""0.0008""","=""9*""","=""""",,"=""269.04164""","=""350.240""","=""2s2.2p5.3p""","=""3D""","=""3""","=""2s2.2p5.4d""","=""3F*""","=""4""",7,9,,"=""""","=""L4421""",
"=""15.3427""","=""0.0008""","=""15.3428""","=""0.0006""","=""6""","=""""",,"=""269.88094""","=""350.690""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.4d""","=""1D*""","=""2""",3,5,,"=""""","=""L4421""",
"=""15.3727""","=""0.0008""","=""15.3727""","=""0.0008""","=""7""","=""""",,"=""272.15145""","=""352.804""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.4d""","=""1F*""","=""3""",5,7,,"=""""","=""L4421""",
"=""15.4114""","=""0.0008""","=""15.4106""","=""0.0012""","=""6""","=""""",,"=""272.28203""","=""352.736""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.4d""","=""3D*""","=""2""",3,5,,"=""""","=""L4421""",
"=""15.4445""","=""0.0008""","=""15.4454""","=""0.0010""","=""8bl""","=""""",,"=""270.56020""","=""350.833""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.4d""","=""3D*""","=""3""",5,7,,"=""""","=""L4421""",
"=""15.527""","=""0.001""","=""15.5290""","=""0.0019""","=""*""","=""""",,"=""271.80781""","=""351.648""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.4d""","=""3D*""","=""1""",1,3,,"=""""","=""L9866""",
"=""15.527""","=""0.001""","=""15.5516""","=""0.0004""","=""*""","=""""",,"=""270.56020""","=""350.2846""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.4d""","=""3P*""","=""2""",5,5,,"=""""","=""L9866""",
"=""15.80""","=""0.01""","=""15.7674""","=""0.0021""","=""""","=""""",,"=""292.45120""","=""371.084""","=""2s2.2p5.3d""","=""3F*""","=""4""","=""2s.2p6.3d""","=""3D""","=""3""",9,7,,"=""""","=""L11036""",
"=""15.843""","=""0.001""","=""15.8412""","=""0.0021""","=""""","=""""",,"=""292.81735""","=""371.084""","=""2s2.2p5.3d""","=""3F*""","=""3""","=""2s.2p6.3d""","=""3D""","=""3""",7,7,,"=""""","=""L9866""",
