obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""17.93""","=""""","=""""","=""8.28e+08""",B+,"=""339.027""","=""408.17""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",6,4,,"=""T5331""","=""""",
"=""""","=""""","=""20.50""","=""""","=""""","=""5.86e+09""",A+,"=""335.46""","=""395.96""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",2,4,,"=""T5331""","=""""",
"=""""","=""""","=""20.50""","=""""","=""""","=""5.92e+09""",A+,"=""335.46""","=""395.96""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",2,2,,"=""T5331""","=""""",
"=""""","=""""","=""21.26""","=""""","=""""","=""1.05e+10""",A+,"=""337.996""","=""396.30""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",2,4,,"=""T5331""","=""""",
"=""""","=""""","=""21.30""","=""""","=""""","=""1.26e+10""",A+,"=""338.094""","=""396.30""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",4,6,,"=""T5331""","=""""",
"=""""","=""""","=""21.30""","=""""","=""""","=""2.11e+09""",A+,"=""338.094""","=""396.30""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""21.76""","=""""","=""""","=""1.64e+09""",A,"=""338.986""","=""395.96""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""1/2""",4,2,,"=""T5331""","=""""",
"=""""","=""""","=""21.76""","=""""","=""""","=""1.61e+08""",A,"=""338.986""","=""395.96""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.6p""","=""2P*""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""21.78""","=""""","=""""","=""1.27e+09""",A,"=""339.027""","=""395.96""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.6p""","=""2P*""","=""3/2""",6,4,,"=""T5331""","=""""",
"=""""","=""""","=""26.33""","=""""","=""""","=""9.86e+08""",B+,"=""374.40""","=""421.48""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",2,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""26.33""","=""""","=""""","=""9.81e+08""",B+,"=""374.40""","=""421.48""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",2,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""27.31""","=""""","=""""","=""3.61e+08""",B,"=""[376.089]""","=""421.48""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.9p""","=""2P*""","=""1/2""",4,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""27.31""","=""""","=""""","=""3.61e+07""",C+,"=""[376.089]""","=""421.48""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.9p""","=""2P*""","=""3/2""",4,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""27.32""","=""""","=""""","=""3.26e+08""",B,"=""[376.102]""","=""421.48""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.9p""","=""2P*""","=""3/2""",6,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""29.69""","=""""","=""""","=""1.40e+09""",A,"=""374.40""","=""416.15""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",2,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""29.69""","=""""","=""""","=""1.40e+09""",A,"=""374.40""","=""416.15""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",2,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""30.45""","=""""","=""""","=""2.82e+09""",A,"=""375.63""","=""416.35""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",4,6,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""30.45""","=""""","=""""","=""2.35e+09""",A,"=""375.63""","=""416.35""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",2,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""30.45""","=""""","=""""","=""4.70e+08""",B+,"=""375.63""","=""416.35""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",4,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""30.864""","=""""","=""""","=""9.30e+09""",AA,"=""335.46""","=""375.63""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",2,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""30.864""","=""""","=""""","=""9.37e+09""",A+,"=""335.46""","=""375.63""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",2,2,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""30.95""","=""""","=""""","=""5.50e+08""",B+,"=""[376.089]""","=""416.15""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",4,2,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""30.95""","=""""","=""""","=""5.51e+07""",B+,"=""[376.089]""","=""416.15""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",4,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""30.96""","=""""","=""""","=""4.95e+08""",A,"=""[376.102]""","=""416.15""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",6,4,,"=""T5118c4,LS""","=""""",
"=""""","=""""","=""32.548""","=""""","=""""","=""1.77e+10""",AA,"=""337.996""","=""[376.089]""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",2,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""32.620""","=""""","=""""","=""2.12e+10""",AA,"=""338.094""","=""[376.102]""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",4,6,,"=""T5331""","=""""",
"=""""","=""""","=""32.632""","=""""","=""""","=""3.54e+09""",A+,"=""338.094""","=""[376.089]""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""33.831""","=""""","=""""","=""3.30e+09""",A+,"=""338.986""","=""375.63""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""1/2""",4,2,,"=""T5331""","=""""",
"=""""","=""""","=""33.831""","=""""","=""""","=""3.23e+08""",A,"=""338.986""","=""375.63""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""33.868""","=""""","=""""","=""2.93e+09""",A+,"=""339.027""","=""375.63""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5p""","=""2P*""","=""3/2""",6,4,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""34.062""","=""""","=""""","=""4.50e+09""",A+,"=""337.996""","=""374.40""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",2,2,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""34.154""","=""""","=""""","=""9.02e+09""",A+,"=""338.094""","=""374.40""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",4,2,,"=""T7164,T5331""","=""""",
"=""""","=""""","=""36.71""","=""""","=""""","=""2.01e+09""",A,"=""374.40""","=""408.17""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",2,4,,"=""T5331""","=""""",
"=""""","=""""","=""36.71""","=""""","=""""","=""2.04e+09""",A,"=""374.40""","=""408.17""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",2,2,,"=""T5331""","=""""",
"=""""","=""""","=""37.79""","=""""","=""""","=""4.19e+09""",A+,"=""375.63""","=""408.44""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",4,6,,"=""T5331""","=""""",
"=""""","=""""","=""37.79""","=""""","=""""","=""3.48e+09""",A,"=""375.63""","=""408.44""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",2,4,,"=""T5331""","=""""",
"=""""","=""""","=""37.79""","=""""","=""""","=""7.00e+08""",A,"=""375.63""","=""408.44""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",4,4,,"=""T5331""","=""""",
"=""""","=""""","=""38.65""","=""""","=""""","=""5.46e+08""",A,"=""[376.089]""","=""408.17""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",4,2,,"=""T5331""","=""""",
"=""""","=""""","=""38.65""","=""""","=""""","=""5.31e+07""",B+,"=""[376.089]""","=""408.17""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",4,4,,"=""T5331""","=""""",
