obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""874.0151""","=""874.0151+""","=""18""","=""7.29e+07""",B,"=""5.6970085""","=""7.1155675""","=""6d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",4,6,,"=""T3225,T7387""","=""L9224""",
"=""889.9906""","=""889.9905+""","=""2""","=""4.93e+06""",B,"=""5.7224717""","=""7.1155675""","=""6d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",6,6,,"=""T3225,T7387""","=""L9224""",
"=""960.5745""","=""960.5749+""","=""9""","=""4.16e+07""",B,"=""6.1235575""","=""7.4142866""","=""7p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",2,4,,"=""T3225,T7387""","=""L9224""",
"=""1011.7782""","=""1011.7783+""","=""14""","=""4.27e+07""",B,"=""6.2006159""","=""7.4260246""","=""7p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",4,6,,"=""T3225,T7387""","=""L9224""",
"=""1021.5638""","=""1021.5638+""","=""2""","=""6.92e+06""",B,"=""6.2006159""","=""7.4142866""","=""7p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",4,4,,"=""T3225,T7387""","=""L9224""",
"=""1158.0252""","=""1158.0254+""","=""3""","=""1.75e+07""",B,"=""6.1235575""","=""7.1942093""","=""7p""","=""2P*""","=""1/2""","=""8s""","=""2S""","=""1/2""",2,2,,"=""T3225,T7387""","=""L9224""",
"=""1247.8370""","=""1247.8364+""","=""5""","=""2.80e+07""",B,"=""6.2006159""","=""7.1942093""","=""7p""","=""2P*""","=""3/2""","=""8s""","=""2S""","=""1/2""",4,2,,"=""T3225,T7387""","=""L9224""",
"=""1306.1369""","=""1306.1369+""","=""29""","=""2.14e+07""",B,"=""5.2513724""","=""6.2006159""","=""7s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,"=""T3225,T7387""","=""L9224""",
"=""1421.535""","=""1421.535+""","=""13""","=""1.66e+07""",B,"=""5.2513724""","=""6.1235575""","=""7s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,"=""T3225,T7387""","=""L9224""",
"=""1853.575""","=""1853.573+""","=""2*""","=""1.96e+07""",B,"=""7.1454250""","=""7.8143180u""","=""5f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""9/2""",8,10,,"=""T3225,T7387""","=""L9224""",
"=""1853.575""","=""1853.573+""","=""2*""","=""1.96e+07""",B,"=""7.1454250""","=""7.8143180u""","=""5f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""7/2""",8,8,,"=""T3225,T7387""","=""L9224""",
"=""2593.031""","=""2593.029+""","=""2""","=""3.66e+06""",B,"=""5.7224717""","=""6.2006159""","=""6d""","=""2D""","=""5/2""","=""7p""","=""2P*""","=""3/2""",6,4,,"=""T3225,T7387""","=""L9224""",
"=""2906.7""","=""2906.681+""","=""""","=""2.89e+06""",B,"=""5.6970085""","=""6.1235575""","=""6d""","=""2D""","=""3/2""","=""7p""","=""2P*""","=""1/2""",4,2,,"=""T3225,T7387""","=""L862""",
