obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,
"=""338.927""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.295""","=""""","=""5700""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.409""","=""""","=""570""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.730""","=""""","=""160""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.033""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.581""","=""""","=""570""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""341.123""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""343.151""","=""""","=""1000""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""343.813""","=""""","=""380""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""343.922""","=""""","=""4700""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""345.855""","=""""","=""410""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""345.992""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""346.401""","=""""","=""820""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""348.039""","=""""","=""1200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""348.215""","=""""","=""1300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""348.454""","=""""","=""760""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""349.721""","=""""","=""4100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""350.648""","=""""","=""350""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""350.667""","=""""","=""820""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""351.146""","=""""","=""200""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""352.682""","=""""","=""440""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""354.363""","=""""","=""630""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""355.296""","=""""","=""1800""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""355.762""","=""""","=""2100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""357.349""","=""""","=""2100""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""357.410""","=""""","=""210""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""357.787""","=""""","=""1300""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""358.900""","=""""","=""440""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
