obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""1973.90""","=""0.08""","=""""","=""7.5929e+00""",AAA,"=""[73.462319]""","=""[74.090435]""","=""1s.5d""","=""1D""","=""2""","=""1s.6s""","=""1S""","=""0""",5,1,E2,"=""T7378""","=""""",
"=""""","=""2004.69""","=""0.06""","=""""","=""1.0112e+06""",AAA,"=""[73.415108]""","=""[74.033578]""","=""1s.5p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""2004.84""","=""0.06""","=""""","=""3.0336e+06""",AAA,"=""[73.415155]""","=""[74.033578]""","=""1s.5p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""2005.11""","=""0.06""","=""""","=""5.0560e+06""",AAA,"=""[73.415238]""","=""[74.033578]""","=""1s.5p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""2015.6""","=""0.9""","=""""","=""7.2900e+06""",AAA,"=""[73.4753]""","=""[74.090435]""","=""1s.5p""","=""1P*""","=""1""","=""1s.6s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""2106.21""","=""0.14""","=""""","=""2.5664e+06""",AAA,"=""[68.780678]""","=""[69.36934]""","=""1s.3s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""2106.6""","=""0.4""","=""""","=""2.5664e+06""",AAA,"=""[68.780678]""","=""[69.36923]""","=""1s.3s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""2107.1""","=""0.7""","=""""","=""2.5664e+06""",AAA,"=""[68.780678]""","=""[69.36910]""","=""1s.3s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""2893.28""","=""0.15""","=""""","=""1.922e+02""",AA,"=""[74.100627]""","=""[74.529152]""","=""1s.6p""","=""3P*""","=""1""","=""1s.7d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""2893.84""","=""0.15""","=""""","=""7.794e+01""",AA,"=""[74.100710]""","=""[74.529152]""","=""1s.6p""","=""3P*""","=""2""","=""1s.7d""","=""1D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""2897.11""","=""0.19""","=""""","=""1.2591e+06""",AAA,"=""[74.100580]""","=""[74.528537]""","=""1s.6p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""2897.11""","=""0.12""","=""""","=""1.6997e+06""",AAA,"=""[74.100627]""","=""[74.528585]""","=""1s.6p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""2897.11""","=""0.12""","=""""","=""2.2664e+06""",AAA,"=""[74.100710]""","=""[74.528667]""","=""1s.6p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""2897.43""","=""0.19""","=""""","=""9.4433e+05""",AAA,"=""[74.100627]""","=""[74.528537]""","=""1s.6p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
