obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""141.022""","=""""","=""141.0216850""","=""0.0000020""","=""2:""","=""""",,"=""0.15074407""","=""8.94259749""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).5p""","=""4F*""","=""9/2""",10,10,,"=""""","=""L5432""",
"=""141.097""","=""""","=""141.0973037""","=""0.0000022""","=""1:""","=""""",,"=""0.13481497""","=""8.92195655""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).5p""","=""4F*""","=""7/2""",8,8,,"=""""","=""L5432""",
"=""141.159""","=""""","=""141.1590491""","=""0.0000020""","=""1:""","=""""",,"=""0.12199000""","=""8.90528793""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).5p""","=""4F*""","=""5/2""",6,6,,"=""""","=""L5432""",
"=""141.202""","=""""","=""141.201993""","=""0.000003""","=""0:""","=""""",,"=""0.11257359""","=""8.89320022""","=""3d3""","=""b 4F""","=""3/2""","=""3d2.(3F).5p""","=""4F*""","=""3/2""",4,4,,"=""""","=""L5432""",
"=""141.353""","=""""","=""141.3535456""","=""0.0000022""","="":""","=""""",,"=""0.15074407""","=""8.92195655""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).5p""","=""4F*""","=""7/2""",10,8,,"=""""","=""L5432""",
"=""141.354""","=""""","=""141.353582""","=""0.000003""","=""0:""","=""""",,"=""0.12199000""","=""8.89320022""","=""3d3""","=""b 4F""","=""5/2""","=""3d2.(3F).5p""","=""4F*""","=""3/2""",6,4,,"=""""","=""L5432""",
"=""141.366""","=""""","=""141.3654646""","=""0.0000020""","=""0:""","=""""",,"=""0.13481497""","=""8.90528793""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).5p""","=""4F*""","=""5/2""",8,6,,"=""""","=""L5432""",
"=""141.383""","=""""","=""141.382226""","=""0.000003""","=""0:""","=""""",,"=""0.15074407""","=""8.92017727""","=""3d3""","=""b 4F""","=""9/2""","=""3d2.(3F).5p""","=""4G*""","=""11/2""",10,12,,"=""""","=""L5432""",
"=""141.523""","=""""","=""141.5221597""","=""0.0000020""","=""0:""","=""""",,"=""0.13481497""","=""8.89557716""","=""3d3""","=""b 4F""","=""7/2""","=""3d2.(3F).5p""","=""4G*""","=""9/2""",8,10,,"=""""","=""L5432""",
"=""142.823""","=""""","=""142.823375""","=""0.000006""","=""0:""","=""""",,"=""0.57388034""","=""9.25482619""","=""3d2.(3F).4s""","=""a 2F""","=""5/2""","=""3d2.(3F).5p""","=""2D*""","=""5/2""",6,6,,"=""""","=""L5432""",
