obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""27.2584""","=""0.0008""","=""""","=""1.158e+10""",AA,"=""(853.4184)""","=""(898.9032)""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""28.4010""","=""0.0011""","=""""","=""2.158e+10""",AA,"=""(855.7791)""","=""(899.4339)""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""28.4208""","=""0.0013""","=""""","=""2.88e+10""",AA,"=""(855.8141)""","=""(899.4385)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""28.4238""","=""0.0011""","=""""","=""7.19e+09""",AA,"=""(855.8141)""","=""(899.4339)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""28.3026""","=""0.0008""","=""""","=""1.152e+10""",AA,"=""(855.8093)""","=""(899.6160)""","=""1s.3s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""29.4104""","=""0.0009""","=""""","=""3.42e+09""",AA,"=""(855.7791)""","=""(897.9357)""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""29.4348""","=""0.0009""","=""""","=""5.70e+09""",AA,"=""(855.8141)""","=""(897.9357)""","=""1s.3p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""29.1873""","=""0.0006""","=""""","=""1.311e+09""",AA,"=""(857.1371)""","=""(899.6160)""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""29.5488""","=""0.0011""","=""""","=""2.88e+10""",AA,"=""(857.5108)""","=""(899.4700)""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""29.6265""","=""0.0006""","=""""","=""2.63e+08""",AA,"=""(857.0689)""","=""(898.9180)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""29.6370""","=""0.0006""","=""""","=""1.316e+09""",AA,"=""(857.0689)""","=""(898.9032)""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""29.6345""","=""0.0006""","=""""","=""1.449e+09""",AA,"=""(857.0802)""","=""(898.9180)""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""39.2227""","=""0.0016""","=""""","=""1.679e+09""",AA,"=""(897.9357)""","=""(929.5461)""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""39.2281""","=""0.0016""","=""""","=""1.679e+09""",AA,"=""(897.9357)""","=""(929.5417)""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""40.2626""","=""0.0013""","=""""","=""2.65e+09""",AA,"=""(898.9032)""","=""(929.6971)""","=""1s.4p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""40.2806""","=""0.0013""","=""""","=""3.54e+09""",AA,"=""(898.9180)""","=""(929.6982)""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""40.2819""","=""0.0013""","=""""","=""8.85e+08""",AA,"=""(898.9180)""","=""(929.6971)""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""40.9472""","=""0.0022""","=""""","=""3.69e+08""",AA,"=""(899.4700)""","=""(929.7491)""","=""1s.4d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""41.2034""","=""0.0016""","=""""","=""3.52e+09""",AA,"=""(899.6160)""","=""(929.7068)""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
"=""""","=""41.1741""","=""0.0024""","=""""","=""6.79e+07""",AA,"=""(899.4339)""","=""(929.5461)""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
