obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""15909.9""","=""""","=""2.77e+03""",D+,"=""7.029935""","=""7.1078640""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3P""","=""1""",3,3,,"=""T6066LS""","=""""",
"=""""","=""16788.9""","=""""","=""9.44e+03""",C,"=""7.029935""","=""7.1037839""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.5p""","=""3P""","=""0""",3,1,,"=""T6066LS""","=""""",
"=""""","=""16795.2""","=""""","=""3.14e+03""",D+,"=""7.034043""","=""7.1078640""","=""3s2.3p.4d""","=""3P*""","=""0""","=""3s2.3p.5p""","=""3P""","=""1""",1,3,,"=""T8363""","=""""",
"=""""","=""17268.5""","=""""","=""8.69e+02""",D,"=""7.667423""","=""7.739221""","=""3s2.3p.5d""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""",5,7,,"=""T6066LS'""","=""""",
"=""""","=""18250.7""","=""""","=""1.03e+05""",B,"=""7.806865""","=""7.8747985""","=""3s2.3p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""","=""3s2.3p.7d""","=""3F*""","=""4""",11,9,,"=""T6066LS'""","=""""",
"=""""","=""19413.3""","=""""","=""4.53e+04""",B,"=""7.739221""","=""7.803087""","=""3s2.3p.(2P*<3/2>).7p<3/2>""","=""(3/2,3/2)""","=""3""","=""3s2.3p.6d""","=""3D*""","=""3""",7,7,,"=""T6066LS'""","=""""",
"=""""","=""19719.0""","=""""","=""3.49e+02""",D+,"=""7.0287762""","=""7.0916515""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""20413.6""","=""""","=""3.10e+04""",B+,"=""7.2297243""","=""7.2904604""","=""3s2.3p.5p""","=""1S""","=""0""","=""3s2.3p.4d""","=""1P*""","=""1""",1,3,,"=""T6066""","=""""",
"=""""","=""23090.2""","=""""","=""1.55e+04""",B+,"=""7.0692685""","=""7.1229641""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.4d""","=""3F*""","=""3""",5,7,,"=""T6066LS""","=""""",
"=""""","=""23119.8""","=""""","=""1.35e+05""",B+,"=""7.753238""","=""7.806865""","=""3s2.3p.6d""","=""3F*""","=""4""","=""3s2.3p.(2P*<3/2>).6f""","=""2[9/2]""","=""5""",9,11,,"=""T6066LS'""","=""""",
"=""""","=""25378.1""","=""""","=""1.11e+04""",B+,"=""7.0644034""","=""7.1132583""","=""3s2.3p.5p""","=""3D""","=""1""","=""3s2.3p.4d""","=""3F*""","=""2""",3,5,,"=""T6066LS""","=""""",
"=""""","=""25931.6""","=""""","=""1.23e+04""",B+,"=""7.0916515""","=""7.1394636""","=""3s2.3p.5p""","=""3D""","=""3""","=""3s2.3p.4d""","=""3F*""","=""4""",7,9,,"=""T6066LS""","=""""",
