obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""445.371""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""446.425""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""""","=""446.7393""","=""""","=""3.1e+07""",D,"=""13.086491""","=""15.861806""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3P*""","=""1""",5,3,,"=""T1619CA,LS""","=""""",
"=""446.923""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""447.652""","=""447.6526""","=""200""","=""1.3e+08""",D,"=""13.086491""","=""15.856143""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""3""",5,7,,"=""T1619CA,LS""","=""L3986""",
"=""450.050""","=""450.0493""","=""200""","=""1.4e+08""",D,"=""13.380738""","=""16.135641""","=""3s2.3p.4p""","=""1D""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",5,7,,"=""T1619CA""","=""L3986""",
"=""453.208""","=""453.2093""","=""120""","=""1.8e+07""",D,"=""13.055830""","=""15.791524""","=""3s2.3p.4p""","=""3P""","=""1""","=""3s2.3p.4d""","=""3P*""","=""2""",3,5,,"=""T1619CA,LS""","=""L3986""",
"=""455.611""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""455.935""","=""455.9373""","=""120""","=""9.7e+07""",D,"=""13.142480""","=""15.861806""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.4d""","=""3P*""","=""1""",3,3,,"=""T1619CA,LS""","=""L3986""",
"=""""","=""456.6567""","=""""","=""9.6e+07""",D,"=""13.142480""","=""15.857522""","=""3s2.3p.4p""","=""3S""","=""1""","=""3s2.3p.4d""","=""3P*""","=""0""",3,1,,"=""T1619CA,LS""","=""""",
"=""458.299""","=""""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3986""",
"=""""","=""458.3464""","=""""","=""5.4e+07""",D,"=""13.086491""","=""15.791524""","=""3s2.3p.4p""","=""3P""","=""2""","=""3s2.3p.4d""","=""3P*""","=""2""",5,5,,"=""T1619CA,LS""","=""""",
"=""458.933""","=""458.9318""","=""500""","=""1.7e+08""",D,"=""12.812420""","=""15.514003""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.4d""","=""3F*""","=""3""",5,7,,"=""T1619CA,LS""","=""L3986""",
"=""459.115""","=""459.1132""","=""500""","=""1.6e+08""",D,"=""12.790905""","=""15.491420""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.4d""","=""3F*""","=""2""",3,5,,"=""T1619CA,LS""","=""L3986""",
