obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""222.06""","=""222.02""","=""0.04""","=""*""","=""""",,"=""95.3338""","=""100.9183""","=""3d10.6d""","=""2D""","=""3/2""","=""3d10.6f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L11307""",
"=""223.79""","=""223.80""","=""0.04""","=""""","=""""",,"=""95.3745""","=""100.9145""","=""3d10.6d""","=""2D""","=""5/2""","=""3d10.6f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L11307""",
"=""225.71""","=""225.72""","=""0.04""","=""""","=""""",,"=""95.3745""","=""100.8673""","=""3d10.6d""","=""2D""","=""5/2""","=""3d10.7p""","=""2P*""","=""3/2""",6,4,,"=""""","=""L11307""",
"=""225.99""","=""226.00""","=""0.03""","=""""","=""""",,"=""89.8884""","=""95.3745""","=""3d10.5f""","=""2F*""","=""5/2""","=""3d10.6d""","=""2D""","=""5/2""",6,6,,"=""""","=""L11307""",
"=""227.73""","=""227.69""","=""0.03""","=""""","=""""",,"=""89.8884""","=""95.3338""","=""3d10.5f""","=""2F*""","=""5/2""","=""3d10.6d""","=""2D""","=""3/2""",6,4,,"=""""","=""L11307""",
"=""229.27""","=""229.28""","=""0.05""","=""""","=""""",,"=""100.8673""","=""106.2749""","=""3d10.7p""","=""2P*""","=""3/2""","=""3d10.8s""","=""2S""","=""1/2""",4,2,,"=""""","=""L11307""",
"=""229.58""","=""229.58""","=""0.04""","=""""","=""""",,"=""95.3338""","=""100.7342""","=""3d10.6d""","=""2D""","=""3/2""","=""3d10.7p""","=""2P*""","=""1/2""",4,2,,"=""""","=""L11307""",
"=""241.90""","=""241.91""","=""0.09""","=""""","=""""",,"=""109.7059""","=""114.8312""","=""3d10.8d""","=""2D""","=""3/2""","=""3d10.9f""","=""2F*""","=""5/2""",4,6,,"=""""","=""L11307""",
"=""242.60""","=""242.62""","=""0.10""","=""*""","=""""",,"=""109.7211""","=""114.8312""","=""3d10.8d""","=""2D""","=""5/2""","=""3d10.9f""","=""2F*""","=""5/2""",6,6,,"=""""","=""L11307""",
"=""242.60""","=""242.61""","=""0.12""","=""*""","=""""",,"=""109.7211""","=""114.8316""","=""3d10.8d""","=""2D""","=""5/2""","=""3d10.9f""","=""2F*""","=""7/2""",6,8,,"=""""","=""L11307""",
"=""252.86""","=""252.86""","=""0.08""","=""*""","=""""",,"=""112.1929""","=""117.0963""","=""3d10.8i""","=""2I""","=""13/2""","=""3d10.10k""","=""2K*""","=""15/2""",14,16,,"=""""","=""L11307""",
"=""252.86""","=""252.86""","=""0.07""","=""*""","=""""",,"=""112.1929""","=""117.0963""","=""3d10.8i""","=""2I""","=""11/2""","=""3d10.10k""","=""2K*""","=""13/2""",12,14,,"=""""","=""L11307""",
"=""252.86""","=""252.86""","=""0.07""","=""*""","=""""",,"=""112.1929""","=""117.0963""","=""3d10.8i""","=""2I""","=""13/2""","=""3d10.10k""","=""2K*""","=""13/2""",14,14,,"=""""","=""L11307""",
"=""253.07""","=""253.07""","=""0.06""","=""*""","=""""",,"=""112.1978""","=""117.0970""","=""3d10.8k""","=""2K*""","=""15/2""","=""3d10.10l""","=""2L""","=""17/2""",16,18,,"=""""","=""L11307""",
"=""253.07""","=""253.07""","=""0.06""","=""*""","=""""",,"=""112.1978""","=""117.0970""","=""3d10.8k""","=""2K*""","=""15/2""","=""3d10.10l""","=""2L""","=""15/2""",16,16,,"=""""","=""L11307""",
"=""253.07""","=""253.07""","=""0.06""","=""*""","=""""",,"=""112.1978""","=""117.0970""","=""3d10.8k""","=""2K*""","=""13/2""","=""3d10.10l""","=""2L""","=""15/2""",14,16,,"=""""","=""L11307""",
"=""269.70""","=""269.71""","=""0.13""","=""""","=""""",,"=""107.5784""","=""112.1753""","=""3d10.7f""","=""2F*""","=""7/2""","=""3d10.8g""","=""2G""","=""9/2""",8,10,,"=""""","=""L11307""",
"=""269.88""","=""269.85""","=""0.13""","=""""","=""""",,"=""107.5806""","=""112.1752""","=""3d10.7f""","=""2F*""","=""5/2""","=""3d10.8g""","=""2G""","=""7/2""",6,8,,"=""""","=""L11307""",
"=""295.01""","=""295.00""","=""0.16""","=""*""","=""""",,"=""107.9992""","=""112.2020""","=""3d10.7g""","=""2G""","=""9/2""","=""3d10.8h""","=""2H*""","=""11/2""",10,12,,"=""""","=""L11307""",
"=""295.01""","=""295.00""","=""0.16""","=""*""","=""""",,"=""107.9992""","=""112.2020""","=""3d10.7g""","=""2G""","=""7/2""","=""3d10.8h""","=""2H*""","=""9/2""",8,10,,"=""""","=""L11307""",
"=""295.01""","=""295.00""","=""0.16""","=""*""","=""""",,"=""107.9992""","=""112.2020""","=""3d10.7g""","=""2G""","=""9/2""","=""3d10.8h""","=""2H*""","=""9/2""",10,10,,"=""""","=""L11307""",
"=""297.13""","=""297.14""","=""0.12""","=""*""","=""""",,"=""108.0294""","=""112.2020""","=""3d10.7i""","=""2I""","=""13/2""","=""3d10.8h""","=""2H*""","=""11/2""",14,12,,"=""""","=""L11307""",
"=""297.13""","=""297.14""","=""0.12""","=""*""","=""""",,"=""108.0294""","=""112.2020""","=""3d10.7i""","=""2I""","=""11/2""","=""3d10.8h""","=""2H*""","=""11/2""",12,12,,"=""""","=""L11307""",
"=""297.13""","=""297.14""","=""0.12""","=""*""","=""""",,"=""108.0294""","=""112.2020""","=""3d10.7i""","=""2I""","=""11/2""","=""3d10.8h""","=""2H*""","=""9/2""",12,10,,"=""""","=""L11307""",
"=""297.13""","=""297.12""","=""0.09""","=""*""","=""""",,"=""108.0201""","=""112.1929""","=""3d10.7h""","=""2H*""","=""11/2""","=""3d10.8i""","=""2I""","=""13/2""",12,14,,"=""""","=""L11307""",
"=""297.13""","=""297.12""","=""0.09""","=""*""","=""""",,"=""108.0201""","=""112.1929""","=""3d10.7h""","=""2H*""","=""11/2""","=""3d10.8i""","=""2I""","=""11/2""",12,12,,"=""""","=""L11307""",
"=""297.13""","=""297.12""","=""0.10""","=""*""","=""""",,"=""108.0201""","=""112.1929""","=""3d10.7h""","=""2H*""","=""9/2""","=""3d10.8i""","=""2I""","=""11/2""",10,12,,"=""""","=""L11307""",
"=""297.44""","=""297.44""","=""0.06""","=""*""","=""""",,"=""108.0294""","=""112.1978""","=""3d10.7i""","=""2I""","=""13/2""","=""3d10.8k""","=""2K*""","=""13/2""",14,14,,"=""""","=""L11307""",
"=""297.44""","=""297.44""","=""0.06""","=""*""","=""""",,"=""108.0294""","=""112.1978""","=""3d10.7i""","=""2I""","=""13/2""","=""3d10.8k""","=""2K*""","=""15/2""",14,16,,"=""""","=""L11307""",
