obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""40.0529""","=""0.0007""","=""40.0537""","=""0.0004""","=""370""","=""""",,"=""105.33085""","=""136.2853""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""","=""3d9.4d""","=""(5/2,5/2)""","=""2""",3,5,,"=""""","=""L12118""",
"=""40.1899""","=""0.0007""","=""40.1894""","=""0.0004""","=""250""","=""""",,"=""104.68309""","=""135.5331""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""","=""3d9.4d""","=""(5/2,3/2)""","=""2""",7,5,,"=""""","=""L12118""",
"=""40.1993""","=""0.0007""","=""40.2000""","=""0.0005""","=""280""","=""""",,"=""105.33085""","=""136.1727""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""","=""3d9.4d""","=""(3/2,3/2)""","=""0""",3,1,,"=""""","=""L12118""",
"=""40.2961""","=""0.0007""","=""40.2965""","=""0.0004""","=""320""","=""""",,"=""106.14901""","=""136.91697""","=""3d9.4p""","=""(3/2,3/2)*""","=""0""","=""3d9.4d""","=""(3/2,3/2)""","=""1""",1,3,,"=""""","=""L12118""",
"=""40.3214""","=""0.0007""","=""40.3219""","=""0.0005""","=""1200""","=""""",,"=""104.68309""","=""135.4317""","=""3d9.4p""","=""(5/2,1/2)*""","=""3""","=""3d9.4d""","=""(5/2,3/2)""","=""4""",7,9,,"=""""","=""L12118""",
"=""40.4403""","=""0.0007""","=""40.4401""","=""0.0005""","=""810""","=""""",,"=""105.6902""","=""136.3489""","=""3d9.4p""","=""(5/2,3/2)*""","=""4""","=""3d9.4d""","=""(5/2,5/2)""","=""4""",9,9,,"=""""","=""L12118""",
"=""40.5530""","=""0.0007""","=""40.5530""","=""0.0003""","=""340""","=""""",,"=""107.12496""","=""137.69831""","=""3d9.4p""","=""(3/2,1/2)*""","=""1""","=""3d9.4d""","=""(3/2,3/2)""","=""2""",3,5,,"=""""","=""L12118""",
"=""40.6864""","=""0.0007""","=""40.6867""","=""0.0003""","=""800""","=""""",,"=""105.63076""","=""136.10367""","=""3d9.4p""","=""(3/2,1/2)*""","=""2""","=""3d9.4d""","=""(5/2,5/2)""","=""3""",5,7,,"=""""","=""L12118""",
"=""40.9432""","=""0.0007""","=""40.9436""","=""0.0004""","=""440""","=""""",,"=""107.41479""","=""137.6965""","=""3d9.4p""","=""(3/2,3/2)*""","=""3""","=""3d9.4d""","=""(3/2,5/2)""","=""3""",7,7,,"=""""","=""L12118""",
"=""40.9612""","=""0.0007""","=""40.9612""","=""0.0004""","=""230""","=""""",,"=""106.14901""","=""136.41768""","=""3d9.4p""","=""(3/2,3/2)*""","=""0""","=""3d9.4d""","=""(3/2,5/2)""","=""1""",1,3,,"=""""","=""L12118""",
"=""41.0676""","=""0.0007""","=""41.0684""","=""0.0004""","=""290""","=""""",,"=""105.33085""","=""135.5206""","=""3d9.4p""","=""(5/2,3/2)*""","=""1""","=""3d9.4d""","=""(5/2,5/2)""","=""1""",3,3,,"=""""","=""L12118""",
"=""41.1217""","=""0.0007""","=""41.1218""","=""0.0003""","=""960""","=""""",,"=""106.67934""","=""136.82982""","=""3d9.4p""","=""(5/2,3/2)*""","=""2""","=""3d9.4d""","=""(3/2,3/2)""","=""3""",5,7,,"=""""","=""L12118""",
