obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""3.2194""","=""0.00082""","=""3.2194""","=""0.0008""","=""bl""","=""""",,"=""0.000000""","=""385.12""","=""2s2.2p4""","=""3P""","=""2""","=""2s.2p4.(4P).3p""","=""3D*""","=""3""",5,7,,"=""""","=""L12134""",
"=""3.3679""","=""0.00058""","=""3.3679""","=""0.0006""","=""*""","=""""",,"=""2.272""","=""370.41""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""1""",1,3,,"=""""","=""L12134""",
"=""3.3679""","=""0.00058""","=""3.3693""","=""0.0016""","=""*""","=""""",,"=""0.000000""","=""367.99""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).3d""","=""3P*""","=""1""",5,3,,"=""""","=""L12134""",
"=""3.384""","=""0.001""","=""3.3840""","=""0.0010""","=""*""","=""""",,"=""1.791993""","=""368.18""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).3d""","=""3D*""","=""2""",3,5,,"=""""","=""L1334""",
"=""3.384""","=""0.001""","=""3.3858""","=""0.0016""","=""*""","=""""",,"=""1.791993""","=""367.99""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).3d""","=""3P*""","=""1""",3,3,,"=""""","=""L1334""",
"=""3.396""","=""0.001""","=""3.3902""","=""0.0016""","=""*""","=""""",,"=""2.272""","=""367.99""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2P*).3d""","=""3P*""","=""1""",1,3,,"=""""","=""L1334""",
"=""3.396""","=""0.001""","=""3.3955""","=""0.0007""","=""*""","=""""",,"=""0.000000""","=""365.14""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2P*).3d""","=""3F*""","=""3""",5,7,,"=""""","=""L1334""",
"=""3.396""","=""0.001""","=""3.3967""","=""0.0012""","=""*""","=""""",,"=""1.791993""","=""366.81""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2P*).3d""","=""3P*""","=""2""",3,5,,"=""""","=""L1334""",
"=""3.4091""","=""0.00035""","=""3.4089""","=""0.0004""","=""bl*""","=""""",,"=""0.000000""","=""363.71""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).3d""","=""3S*""","=""1""",5,3,,"=""""","=""L12134""",
"=""3.4091""","=""0.00035""","=""3.4099""","=""0.0008""","=""bl*""","=""""",,"=""0.000000""","=""363.60""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).3d""","=""3P*""","=""1""",5,3,,"=""""","=""L12134""",
"=""3.424""","=""0.001""","=""3.4223""","=""0.0013""","=""*""","=""""",,"=""0.000000""","=""362.28""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p3.(2D*).3d""","=""3P*""","=""2""",5,5,,"=""""","=""L1334""",
"=""3.424""","=""0.001""","=""3.4258""","=""0.0004""","=""*""","=""""",,"=""1.791993""","=""363.71""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).3d""","=""3S*""","=""1""",3,3,,"=""""","=""L1334""",
"=""3.424""","=""0.001""","=""3.4268""","=""0.0008""","=""*""","=""""",,"=""1.791993""","=""363.60""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p3.(2D*).3d""","=""3P*""","=""1""",3,3,,"=""""","=""L1334""",
"=""3.4328""","=""0.00038""","=""3.4314""","=""0.0008""","=""bl*""","=""""",,"=""2.272""","=""363.60""","=""2s2.2p4""","=""3P""","=""0""","=""2s2.2p3.(2D*).3d""","=""3P*""","=""1""",1,3,,"=""""","=""L12134""",
