obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""139.745""","=""0.001""","=""139.747+""","=""9a""","=""""",,"=""19.40437""","=""28.27644""","=""5s2.5p.(2P*).5d""","=""3F*""","=""2""","=""5s2.5p.(2P*).6p""","=""3D""","=""1""",5,3,,"=""""","=""L7287""",
"=""140.734""","=""0.001""","=""140.734+""","=""9""","=""""",,"=""16.70101""","=""25.51084""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.(2P*).4f""","=""3D""","=""3""",5,7,,"=""""","=""L7287""",
"=""140.967""","=""0.001""","=""140.967+""","=""7""","=""""",,"=""18.07776""","=""26.87303""","=""5s.5p3""","=""1D*""","=""2""","=""5s2.5p.(2P*).4f""","=""1D""","=""2""",5,5,,"=""""","=""L7287""",
"=""141.212""","=""0.001""","=""141.211+""","=""10""","=""""",,"=""5.51363""","=""14.29368""","=""5s2.5p2""","=""1S""","=""0""","=""5s.5p3""","=""3D*""","=""1""",1,3,,"=""""","=""L7287""",
"=""141.391""","=""0.001""","=""141.391+""","=""12""","=""""",,"=""14.86806""","=""23.63693""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""3F""","=""4""",7,9,,"=""""","=""L7287""",
"=""142.561""","=""0.001""","=""142.562+""","=""3""","=""""",,"=""21.45816""","=""30.15500""","=""5s2.5p.(2P*).5d""","=""3D*""","=""1""","=""5s2.5p.(2P*).6p""","=""1P""","=""1""",3,3,,"=""""","=""L7287""",
"=""143.380""","=""0.001""","=""143.380+""","=""1""","=""""",,"=""14.86806""","=""23.51531""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""3F""","=""3""",7,7,,"=""""","=""L7287""",
"=""143.775""","=""0.001""","=""143.775+""","=""1""","=""""",,"=""22.44167""","=""31.06513""","=""5s2.5p.(2P*).5d""","=""3D*""","=""2""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",5,5,,"=""""","=""L7287""",
"=""149.638""","=""0.001""","=""149.639+""","=""8""","=""""",,"=""14.86806""","=""23.15364""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.(2P*).4f""","=""3G""","=""3""",7,7,,"=""""","=""L7287""",
"=""150.580""","=""0.001""","=""150.581+""","=""9""","=""""",,"=""22.83139""","=""31.06513""","=""5s2.5p.(2P*).5d""","=""3P*""","=""1""","=""5s2.5p.(2P*).6p""","=""1D""","=""2""",3,5,,"=""""","=""L7287""",
