obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""154.49""","=""0.03""","=""""","=""4.103e+07""",AA,"=""(712.6429)""","=""(720.6683)""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""154.52""","=""0.03""","=""""","=""2.276e+08""",AA,"=""(712.6443)""","=""(720.6683)""","=""1s.5d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
"=""""","=""162.3661""","=""0.0004""","=""""","=""8.033e+07""",AA,"=""(561.072349)""","=""(568.708437)""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""163.8333""","=""0.0004""","=""""","=""7.820e+07""",AA,"=""(561.072349)""","=""(568.640052)""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""163.9913""","=""0.0004""","=""""","=""7.797e+07""",AA,"=""(561.072349)""","=""(568.632762)""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
"=""""","=""244.9618""","=""0.0008""","=""""","=""2.514e+07""",AA,"=""(568.899694)""","=""(573.9610626)""","=""1s.2s""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""251.08""","=""0.05""","=""""","=""1.09e+08""",A,"=""(720.8052)""","=""(725.7432)""","=""1s.6d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",5,3,,"=""T5231""","=""""",
"=""""","=""843.8""","=""0.6""","=""""","=""3.864e+06""",AA,"=""(664.1051)""","=""(665.5744)""","=""1s.3s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""1143.8""","=""0.7""","=""""","=""1.127e+06""",AA,"=""(664.1139)""","=""(665.1979)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""1129.3""","=""0.6""","=""""","=""8.426e+05""",AA,"=""(664.0937)""","=""(665.1916)""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""1150.4""","=""0.7""","=""""","=""2.809e+05""",AA,"=""(664.1139)""","=""(665.1916)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""1127.3""","=""0.6""","=""""","=""6.114e+05""",AA,"=""(664.0908)""","=""(665.1906)""","=""1s.3p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""1130.3""","=""0.6""","=""""","=""4.585e+05""",AA,"=""(664.0937)""","=""(665.1906)""","=""1s.3p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""1151.5""","=""0.7""","=""""","=""3.057e+04""",AA,"=""(664.1139)""","=""(665.1906)""","=""1s.3p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""2017""","=""3""","=""""","=""9.14e+05""",A,"=""(697.1711)""","=""(697.7859)""","=""1s.4s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
"=""""","=""2780""","=""10""","=""""","=""4.19e+05""",A,"=""(697.1842)""","=""(697.6302)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""2743""","=""9""","=""""","=""2.08e+05""",A,"=""(697.1757)""","=""(697.6277)""","=""1s.4p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""2796""","=""10""","=""""","=""6.94e+04""",A,"=""(697.1842)""","=""(697.6277)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
"=""""","=""2738""","=""9""","=""""","=""1.49e+05""",A,"=""(697.1744)""","=""(697.6272)""","=""1s.4p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T5997LS""","=""""",
"=""""","=""2746""","=""9""","=""""","=""1.12e+05""",A,"=""(697.1757)""","=""(697.6272)""","=""1s.4p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T5997LS""","=""""",
"=""""","=""2799""","=""10""","=""""","=""7.44e+03""",A,"=""(697.1842)""","=""(697.6272)""","=""1s.4p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T5997LS""","=""""",
"=""""","=""3763""","=""8""","=""""","=""7.41e+04""",A,"=""(665.2449)""","=""(665.5744)""","=""1s.3d""","=""1D""","=""2""","=""1s.3p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
"=""""","=""5470""","=""40""","=""""","=""1.77e+05""",A,"=""(712.4176)""","=""(712.6443)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T5997LS""","=""""",
"=""""","=""5400""","=""40""","=""""","=""9.96e+04""",A,"=""(712.4132)""","=""(712.6429)""","=""1s.5p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T5997LS""","=""""",
"=""""","=""5500""","=""40""","=""""","=""3.32e+04""",A,"=""(712.4176)""","=""(712.6429)""","=""1s.5p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T5997LS""","=""""",
