Initial State,Final State,Partial Lifetime /s,Delta Energy /eV
N+ 3P;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.3s,1.2322e-07,-6.726359548360797
N+ 3S;v=2s2.2p.4p,N+ 3Po;v=2s.2p3,1.0648e-08,-11.693175943157001
N+ 3S;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.3d,2.1959e-08,-1.810251520941101
N+ 3S;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.3s,6.0826e-08,-6.7729765315725
N+ 3S;v=2s2.2p.4p,N+ 3Do;v=2s.2p3,6.4121e-08,-13.7974120135437
N+ 3S;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.4s,8.5941e-08,-0.8676214056260001
N+ 1D;v=2s2.2p.4p,N+ 1Fo;v=2s2.2p.3d,2.9609e-08,-1.985561133338301
N+ 1D;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.4s,5.1859e-08,-0.9287442054222019
N+ 1D;v=2s2.2p.4p,N+ 1Do;v=2s.2p3,5.7144e-08,-7.582946614875599
N+ 1D;v=2s2.2p.4p,N+ 1Po;v=2s.2p3,7.9395e-08,-4.783695958084401
N+ 1D;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.3d,1.8809e-07,-1.8882357827500016
N+ 5P;v=2s.2p2(4P)3s,N+ 5So;v=2s.2p3,9.3458e-10,-19.689897876571578
N+ 1S;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.3d,2.0235e-08,-2.081646670543101
N+ 1S;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.3s,2.5566e-08,-7.156450811023898
N+ 1S;v=2s2.2p.4p,N+ 1Po;v=2s.2p3,3.83e-08,-4.9771068458775005
N+ 1S;v=2s2.2p.4p,N+ 1Po;v=2s2.2p.4s,4.4626e-08,-1.1221550932153015
N+ 1S;v=2s2.2p.4p,N+ 3Po;v=2s2.2p.3s,4.7376e-07,-7.191041604417698
N+ 3Fo;v=2s2.2p.4d,N+ 3D;v=2s2.2p.4p,4.7085e-08,-0.8629101147696012
N+ 3Fo;v=2s2.2p.4d,N+ 3D;v=2s2.2p.3p,5.0902e-08,-5.350042711571099
N+ 1Do;v=2s2.2p.4d,N+ 1D;v=2s2.2p2,8.0645e-10,-24.12798345593016
N+ 1Do;v=2s2.2p.4d,N+ 1P;v=2s2.2p.4p,4.7393e-08,-0.9614752787410019
N+ 1Do;v=2s2.2p.4d,N+ 1D;v=2s2.2p.3p,6.1728e-08,-4.4278695170802
N+ 1Do;v=2s2.2p.4d,N+ 1P;v=2s2.2p.3p,1.4204e-07,-5.618214346376501
N+ 1Do;v=2s2.2p.4d,N+ 1D;v=2s2.2p.4p,5.8823e-07,-0.5673386041931998
N+ 3Do;v=2s2.2p.4d,N+ 3P;v=2s2.2p2,4.7544e-10,-26.0658365702794
N+ 3Do;v=2s2.2p.4d,N+ 3P;v=2s2.2p.3p,4.416e-08,-4.9179677474946
N+ 3Do;v=2s2.2p.4d,N+ 3P;v=2s2.2p.4p,7.0264e-08,-0.8775399126923027
N+ 3Do;v=2s2.2p.4d,N+ 3D;v=2s2.2p.4p,1.5267e-07,-0.9330835522637031
N+ 3Do;v=2s2.2p.4d,N+ 3D;v=2s2.2p.3p,4.2391e-07,-5.420216149065201
N+ 3Po;v=2s2.2p.4d,N+ 3P;v=2s2.2p2,7.7396e-10,-26.1322905676238
N+ 3Po;v=2s2.2p.4d,N+ 3S;v=2s2.2p.4p,6.7007e-08,-0.8973769268250003
N+ 3Po;v=2s2.2p.4d,N+ 3P;v=2s2.2p.3p,1.0014e-07,-4.9844217448390005
N+ 3Po;v=2s2.2p.4d,N+ 3P;v=2s2.2p.4p,1.2966e-07,-0.9439939100367027
N+ 3Po;v=2s2.2p.4d,N+ 3S;v=2s2.2p.3p,3.0255e-07,-5.192834374570001
N+ 1Fo;v=2s2.2p.4d,N+ 1D;v=2s2.2p2,5.3476e-10,-24.274033472481758
N+ 1Fo;v=2s2.2p.4d,N+ 1D;v=2s2.2p.3p,3.7879e-08,-4.573919533631798
N+ 1Fo;v=2s2.2p.4d,N+ 1D;v=2s2.2p.4p,7.0423e-08,-0.7133886207447979
N+ 1Po;v=2s2.2p.4d,N+ 1S;v=2s2.2p2,8.7719e-10,-22.14891894472046
N+ 1Po;v=2s2.2p.4d,N+ 1S;v=2s2.2p.3p,4.4053e-08,-4.0991949891703
N+ 1Po;v=2s2.2p.4d,N+ 1P;v=2s2.2p.4p,7.5758e-08,-1.1362889657849031
N+ 1Po;v=2s2.2p.4d,N+ 1S;v=2s2.2p.4p,2.1834e-07,-0.5487414034440015
N+ 1Po;v=2s2.2p.4d,N+ 1D;v=2s2.2p.4p,6.3291e-07,-0.742152291237101
N+ 3P;v=2s.2p2(4P)3s,N+ 3Do;v=2s.2p3,6.8842e-10,-14.8154227825627
N+ 3P;v=2s.2p2(4P)3s,N+ 3Po;v=2s.2p3,5.6396e-09,-12.711186712176001
N+ 3P;v=2s.2p2(4P)3s,N+ 3So;v=2s.2p3,1.927e-08,-7.0200713388619995
N+ 3P;v=2s.2p2(4P)3s,N+ 3Po;v=2s2.2p.4s,4.7308e-08,-1.885632174645
N+ 3P;v=2s.2p2(4P)3s,N+ 3Po;v=2s2.2p.3s,6.6994e-08,-7.7909873005915
N+ 3So;v=2s.2p2(4P)3p,N+ 3P;v=2s2.2p.3p,3.827e-08,-6.5085243369168
N+ 3So;v=2s.2p2(4P)3p,N+ 3P;v=2s2.2p.4p,1.0256e-07,-2.468096502114502
N+ 3So;v=2s.2p2(4P)3p,N+ 3P;v=2s.2p2(4P)3s,1.3383e-07,-1.4034687498837997
N+ 5Do;v=2s.2p2(4P)3p,N+ 5P;v=2s.2p2(4P)3s,1.6584e-08,-2.237243250146001
N+ 5Po;v=2s.2p2(4P)3p,N+ 5P;v=2s.2p2(4P)3s,1.2821e-08,-2.4803706546091
N+ 3Do;v=2s.2p2(4P)3p,N+ 3P;v=2s2.2p2,1.2545e-09,-28.353788187802
N+ 3Do;v=2s.2p2(4P)3p,N+ 3P;v=2s2.2p.3p,1.9102e-08,-7.205919365017198
N+ 3Do;v=2s.2p2(4P)3p,N+ 3P;v=2s2.2p.4p,3.1071e-08,-3.1654915302149007
N+ 3Do;v=2s.2p2(4P)3p,N+ 3P;v=2s.2p2(4P)3s,3.4859e-08,-2.1008637779841983
N+ 3Do;v=2s.2p2(4P)3p,N+ 3D;v=2s2.2p.4p,1.8727e-06,-3.221035169786301
N+ 5So;v=2s.2p2(4P)3p,N+ 5P;v=2s.2p2(4P)3s,6.3052e-09,-3.0054316224322015
N+ 5F;v=2s.2p2(4P)3d,N+ 5Do;v=2s.2p2(4P)3p,9.3275e-09,-2.3960633445454
N+ 5P;v=2s.2p2(4P)3d,N+ 5So;v=2s.2p3,2.2173e-10,-24.50297741183998
N+ 5P;v=2s.2p2(4P)3d,N+ 5Po;v=2s.2p2(4P)3p,1.7825e-08,-2.3327088806593004
N+ 5P;v=2s.2p2(4P)3d,N+ 5So;v=2s.2p2(4P)3p,3.9526e-08,-1.8076479128361989
N+ 5P;v=2s.2p2(4P)3d,N+ 5Do;v=2s.2p2(4P)3p,1.7271e-06,-2.5758362851223993
N+ 5D;v=2s.2p2(4P)3d,N+ 5Po;v=2s.2p2(4P)3p,1.1481e-08,-2.3968072325754015
N+ 5D;v=2s.2p2(4P)3d,N+ 5Do;v=2s.2p2(4P)3p,2.7248e-08,-2.6399346370385004
