obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""248.495""","=""0.002""","=""248.4954""","=""0.0004""","=""3h,D*""","=""""",,"=""3.846263""","=""8.835658""","=""3d6""","=""a 3P""","=""0""","=""3d5.(4D).4p""","=""x 5P*""","=""1""",1,3,,"=""""","=""L562""",
"=""248.524""","=""0.0015""","=""248.52369""","=""0.00019""","=""5""","=""""",,"=""5.4176404""","=""10.406469""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d5.(4F).4p""","=""x 3G*""","=""3""",7,7,,"=""""","=""L562""",
"=""248.5295""","=""0.0006""","=""248.52998""","=""0.00025""","=""5""","=""""",,"=""8.4143048""","=""13.403007""","=""3d5.(4G).4p""","=""z 3F*""","=""4""","=""3d5.(4D).5s""","=""e 3D""","=""3""",9,7,,"=""""","=""L562""",
"=""248.5485""","=""0.0006""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""248.5558""","=""0.0006""","=""""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L562""",
"=""248.5802""","=""0.0006""","=""248.58001""","=""0.00019""","=""60""","=""""",,"=""3.419929""","=""8.4076273""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 3F*""","=""3""",9,7,,"=""""","=""L562""",
"=""248.6093""","=""0.0006""","=""248.61053""","=""0.00012""","=""10""","=""""",,"=""3.420542""","=""8.4076273""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 3F*""","=""3""",7,7,,"=""""","=""L562""",
"=""248.616""","=""0.0015""","=""248.61566""","=""0.00019""","=""10""","=""""",,"=""3.420645""","=""8.4076273""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d5.(4G).4p""","=""z 3F*""","=""3""",5,7,,"=""""","=""L562""",
"=""248.6908""","=""0.0006""","=""248.68978""","=""0.00025""","=""100""","=""5.3e+07""",D,"=""4.823218""","=""9.8087148""","=""3d6""","=""a 1G""","=""4""","=""3d5.(2I).4p""","=""z 1H*""","=""5""",9,11,,"=""c88""","=""L562""",
"=""248.7619""","=""0.0006""","=""248.76039""","=""0.00012""","=""8""","=""""",,"=""3.7135045""","=""8.697586""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d5.(4D).4p""","=""y 5F*""","=""1""",3,3,,"=""""","=""L562""",
"=""248.7742""","=""0.0006""","=""248.7737""","=""0.0003""","=""60""","=""""",,"=""3.415425""","=""8.399240""","=""3d5.(4G).4s""","=""a 5G""","=""6""","=""3d5.(4G).4p""","=""z 3H*""","=""6""",13,13,,"=""""","=""L562""",
