Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""3s2.3p4.(3P<2>).8f""","=""2[4]*""","=""9/2""",10,"=""""","=""26.767405""","=""""","=""0.000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).8f""","=""2[5]*""","=""11/2""",12,"=""""","=""26.772202""","=""""","=""0.000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).8f""","=""2[5]*""","=""9/2""",10,"=""""","=""26.772359""","=""""","=""0.000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).8g""","=""2[6]""","=""11/2""",12,"=""""","=""26.778505""","=""""","=""0.000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8g""","=""2[6]""","=""13/2""",14,"=""""","=""26.778524""","=""""","=""0.000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[6]""","=""13/2""",14,"=""""","=""26.7787432""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[6]""","=""11/2""",12,"=""""","=""26.7787494""","=""""","=""0.0000025""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[7]""","=""13/2""",14,"=""""","=""26.7787809""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[7]""","=""15/2""",16,"=""""","=""26.7787823""","=""""","=""0.0000005""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[5]""","=""9/2""",10,"=""""","=""26.7790114""","=""""","=""0.0000012""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[5]""","=""11/2""",12,"=""""","=""26.7790130""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[7]*""","=""13/2""",14,"=""""","=""26.7790641""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[7]*""","=""15/2""",16,"=""""","=""26.7790645""","=""""","=""0.0000014""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[8]*""","=""15/2""",16,"=""""","=""26.7790993""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[8]*""","=""17/2""",18,"=""""","=""26.7791000""","=""""","=""0.0000004""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[8]""","=""15/2""",16,"=""""","=""26.7792085""","=""""","=""0.0000007""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[8]""","=""17/2""",18,"=""""","=""26.7792089""","=""""","=""0.0000006""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[6]*""","=""11/2""",12,"=""""","=""26.7792435""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8k""","=""2[6]*""","=""13/2""",14,"=""""","=""26.7792445""","=""""","=""0.0000011""","=""L15349"""
"=""3s2.3p4.(3P<2>).8i""","=""2[4]""","=""7/2""",8,"=""""","=""26.7794127""","=""""","=""0.0000019""","=""L15349"""
