obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""162.1+""","=""""","=""7.71e+01""",C+,"=""260.173""","=""267.823""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,6,M1,"=""T7370c84""","=""""",
"=""""","=""164.4+""","=""""","=""7.19e+00""",C,"=""260.173""","=""267.717?""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""215.695""","=""""","=""1.03e+02""",A,"=""10.22154""","=""15.9697""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
"=""""","=""216.5+""","=""""","=""1.71e+01""",C+,"=""261.991""","=""267.717?""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""221.194""","=""""","=""5.48e+01""",A,"=""10.36445""","=""15.9697""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""3/2""",6,4,M1,"=""T7370c84""","=""""",
"=""""","=""221.194""","=""""","=""5.69e-01""",A,"=""10.36445""","=""15.9697""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""3/2""",6,4,E2,"=""T7370c84""","=""""",
"=""""","=""224.554""","=""""","=""5.77e+01""",A,"=""10.22154""","=""15.7429""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",4,2,M1,"=""T7370c84""","=""""",
"=""""","=""230.52+""","=""""","=""2.76e-01""",A,"=""10.36445""","=""15.7429""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2P*""","=""1/2""",6,2,E2,"=""T7370c84""","=""""",
"=""""","=""252.3+""","=""""","=""1.06e+01""",C+,"=""262.908""","=""267.823""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",4,6,M1,"=""T7370c84""","=""""",
"=""""","=""257.9+""","=""""","=""3.19e+01""",C+,"=""262.908""","=""267.717?""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
"=""""","=""271.2+""","=""""","=""5.04e+01""",A,"=""75.4796""","=""80.052""","=""2s.2p4""","=""2S""","=""1/2""","=""2s.2p4""","=""2P""","=""1/2""",2,2,M1,"=""T7370c84""","=""""",
"=""""","=""302.7+""","=""""","=""7.85e-01""",C,"=""258.812""","=""262.908""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""355.69+""","=""""","=""5.67e+00""",A,"=""75.4796""","=""78.9653""","=""2s.2p4""","=""2S""","=""1/2""","=""2s.2p4""","=""2P""","=""3/2""",2,4,M1,"=""T7370c84""","=""""",
"=""""","=""355.9+""","=""""","=""2.66e+00""",C+,"=""259.425""","=""262.908""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",4,4,M1,"=""T7370c84""","=""""",
