Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""5/2""",6,"=""""","=""31.7097189""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f G""","=""2[3]*""","=""7/2""",8,"=""""","=""31.7101222""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""3/2""",4,"=""""","=""31.7167360""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f D""","=""2[2]*""","=""5/2""",6,"=""""","=""31.7168283""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""9/2""",10,"=""""","=""31.7185870""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f G""","=""2[4]*""","=""7/2""",8,"=""""","=""31.718825""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""",4,"=""""","=""31.720478""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""",6,"=""""","=""31.727258""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""3/2""",4,"=""""","=""31.729084""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f D""","=""2[1]*""","=""1/2""",2,"=""""","=""31.729090""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f G""","=""2[5]*""","=""11/2""",12,"=""""","=""31.7371628""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f G""","=""2[5]*""","=""9/2""",10,"=""""","=""31.7379195""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""3/2""",4,"=""""","=""31.7503204""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f F""","=""2[2]*""","=""5/2""",6,"=""""","=""31.7508339""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f F""","=""2[3]*""","=""7/2""",8,"=""""","=""31.7552335""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f F""","=""2[3]*""","=""5/2""",6,"=""""","=""31.7555502""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""9/2""",10,"=""""","=""31.7568211""","=""""","=""""","="""""
"=""2s2.2p2.(3P).4f F""","=""2[4]*""","=""7/2""",8,"=""""","=""31.7577077""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",2,"=""""","=""31.950200""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,"=""""","=""31.963118""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",6,"=""""","=""31.983597""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""",2,"=""""","=""32.038913""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",4,"=""""","=""32.063101""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""32.147566""","=""""","=""""","="""""
"=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""32.147624""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""2S*""","=""1/2""",2,"=""""","=""32.320978""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4D*""","=""1/2""",2,"=""""","=""32.348960""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4D*""","=""3/2""",4,"=""""","=""32.354745""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4D*""","=""5/2""",6,"=""""","=""32.365335""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4D*""","=""7/2""",8,"=""""","=""32.382266""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4P*""","=""1/2""",2,"=""""","=""32.386467""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4P*""","=""3/2""",4,"=""""","=""32.392272""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4P*""","=""5/2""",6,"=""""","=""32.404017""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",4,"=""""","=""32.436939""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",4,"=""""","=""32.446510""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",6,"=""""","=""32.467735""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""2P*""","=""1/2""",2,"=""""","=""32.519421""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""",4,"=""""","=""32.529492""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5d""","=""4D""","=""5/2""",6,"=""""","=""32.88313""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5d""","=""4D""","=""3/2""",4,"=""""","=""32.88313""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5d""","=""4P""","=""5/2""",6,"=""""","=""32.90931""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5d""","=""4P""","=""3/2""",4,"=""""","=""32.91386""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5d""","=""2F""","=""7/2""",8,"=""""","=""32.92787""","=""?""","=""""","="""""
"=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",6,"=""""","=""32.934803""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",8,"=""""","=""32.934988""","=""""","=""""","="""""
"=""2s2.2p2.(3P<0>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""32.942246""","=""""","=""""","="""""
"=""2s2.2p2.(3P<0>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""32.942246""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",6,"=""""","=""32.944893""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",8,"=""""","=""32.945128""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""9/2""",10,"=""""","=""32.950201""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",8,"=""""","=""32.950457""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""3/2""",4,"=""""","=""32.950819""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",6,"=""""","=""32.950977""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).5g""","=""2[4]""","=""7/2""",8,"=""""","=""32.954266""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).5g""","=""2[4]""","=""9/2""",10,"=""""","=""32.954273""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).5g""","=""2[5]""","=""9/2""",10,"=""""","=""32.956981""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).5g""","=""2[5]""","=""11/2""",12,"=""""","=""32.956991""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).5g""","=""2[3]""","=""5/2""",6,"=""""","=""32.957513""","=""""","=""""","="""""
"=""2s2.2p2.(3P<1>).5g""","=""2[3]""","=""7/2""",8,"=""""","=""32.957537""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5d""","=""2D""","=""5/2""",6,"=""""","=""32.96184""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",2,"=""""","=""32.966538""","=""""","=""""","="""""
"=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""3/2""",4,"=""""","=""32.966607""","=""""","=""""","="""""
