obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""4.28693""","=""""","=""5.85e+08""",D+,"=""1.53593""","=""290.750""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3s""","=""1P*""","=""1""",5,3,,"=""u31""","=""""",
"=""""","=""4.2949""","=""""","=""3.62e+11""",D+,"=""73.458""","=""362.139""","=""2s.2p3""","=""1P*""","=""1""","=""2s.2p2.(2D).3d""","=""1D""","=""2""",3,5,,"=""T5052""","=""""",
"=""""","=""4.29898""","=""""","=""5.84e+10""",A,"=""0.64571""","=""289.049""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.3s""","=""3P*""","=""2""",3,5,,"=""u31""","=""""",
"=""""","=""4.30986""","=""""","=""7.37e+10""",B+,"=""0.0000""","=""287.676""","=""2s2.2p2""","=""3P""","=""0""","=""2s2.2p.3s""","=""3P*""","=""1""",1,3,,"=""u31""","=""""",
"=""4.3123""","=""4.31229""","=""60g""","=""1.71e+11""",A,"=""1.53593""","=""289.049""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3s""","=""3P*""","=""2""",5,5,,"=""u31""","=""L2279""",
"=""""","=""4.31956""","=""""","=""5.20e+10""",B+,"=""0.64571""","=""287.676""","=""2s2.2p2""","=""3P""","=""1""","=""2s2.2p.3s""","=""3P*""","=""1""",3,3,,"=""u31""","=""""",
"=""4.3330""","=""4.33300""","=""50g,bl""","=""9.55e+10""",A,"=""1.53593""","=""287.676""","=""2s2.2p2""","=""3P""","=""2""","=""2s2.2p.3s""","=""3P*""","=""1""",5,3,,"=""u31""","=""L7069""",
"=""4.3900""","=""4.38998""","=""40""","=""2.78e+11""",A,"=""8.32508""","=""290.750""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3s""","=""1P*""","=""1""",5,3,,"=""u31""","=""L7069""",
"=""4.3998""","=""4.39980""","=""10""","=""7.88e+10""",D+,"=""51.7534""","=""333.548?""","=""2s.2p3""","=""3P*""","=""2""","=""2s.2p2.(2D).3s""","=""3D""","=""3""",5,7,,"=""T5052""","=""L7069""",
"=""""","=""4.41658""","=""""","=""1.94e+09""",C,"=""8.32508""","=""289.049""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3s""","=""3P*""","=""2""",5,5,,"=""u31""","=""""",
"=""""","=""4.43830""","=""""","=""1.10e+10""",C+,"=""8.32508""","=""287.676""","=""2s2.2p2""","=""1D""","=""2""","=""2s2.2p.3s""","=""3P*""","=""1""",5,3,,"=""u31""","=""""",
"=""""","=""4.47284""","=""""","=""1.00e+10""",D,"=""44.0238""","=""321.217?""","=""2s.2p3""","=""3D*""","=""2""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",5,5,,"=""T5052""","=""""",
