obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""15.5118""","=""0.0004""","=""""","=""1.685e+10""",AA,"=""(1071.7672)""","=""(1151.6964)""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T7543LS""","=""""",
"=""""","=""15.5119""","=""0.0004""","=""""","=""9.36e+09""",AA,"=""(1071.7672)""","=""(1151.6954)""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""15.5221""","=""0.0004""","=""""","=""2.242e+10""",AA,"=""(1071.8243)""","=""(1151.7001)""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T7543LS""","=""""",
"=""""","=""15.5228""","=""0.0004""","=""""","=""5.60e+09""",AA,"=""(1071.8243)""","=""(1151.6964)""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T7543LS""","=""""",
"=""""","=""15.5230""","=""0.0004""","=""""","=""6.23e+08""",AA,"=""(1071.8243)""","=""(1151.6954)""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T7543LS""","=""""",
"=""""","=""15.5725""","=""0.0003""","=""""","=""3.92e+06""",AA,"=""(1071.7672)""","=""(1151.3845)""","=""1s.3p""","=""3P*""","=""1""","=""1s.5s""","=""1S""","=""0""",3,1,,"=""T7543""","=""""",
"=""""","=""15.5815""","=""0.0003""","=""""","=""7.61e+06""",AA,"=""(1071.8138)""","=""(1151.3854)""","=""1s.3s""","=""1S""","=""0""","=""1s.5p""","=""3P*""","=""1""",1,3,,"=""T7543""","=""""",
"=""""","=""15.6787""","=""0.0003""","=""""","=""8.51e+08""",AA,"=""(1071.7548)""","=""(1150.8330)""","=""1s.3p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",1,3,,"=""T7543LS""","=""""",
"=""""","=""15.6812""","=""0.0003""","=""""","=""2.55e+09""",AA,"=""(1071.7672)""","=""(1150.8330)""","=""1s.3p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",3,3,,"=""T7543LS""","=""""",
"=""""","=""15.6925""","=""0.0003""","=""""","=""4.24e+09""",AA,"=""(1071.8243)""","=""(1150.8330)""","=""1s.3p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",5,3,,"=""T7543LS""","=""""",
