obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""89.782""","=""89.782""","=""270""","=""1.56e+09""",B+,"=""170.0795""","=""183.8890""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3D""","=""3""",5,7,,"=""T7663c84""","=""L5875""",
"=""90.313""","=""90.311""","=""280bl""","=""1.20e+09""",B+,"=""172.1321""","=""185.8607""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1D""","=""2""",3,5,,"=""T7663c84""","=""L5875""",
"=""""","=""90.668+""","=""""","=""1.92e+08""",B,"=""172.1321""","=""185.8066""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""0""",3,1,,"=""T7663c84""","=""""",
"=""91.335""","=""91.335""","=""10""","=""1.01e+09""",B+,"=""192.5111""","=""206.0858""","=""2s2.2p5.3p""","=""1S""","=""0""","=""2s2.2p5.3d""","=""1P*""","=""1""",1,3,,"=""T7663c84""","=""L5875""",
"=""92.406""","=""92.404""","=""340""","=""8.52e+08""",B+,"=""170.6279""","=""184.0456""","=""2s2.2p5.3s""","=""3P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,,"=""T7663c84""","=""L5875""",
"=""93.02""","=""93.015""","=""10""","=""7.39e+08""",B+,"=""172.1321""","=""185.4616""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""1P""","=""1""",3,3,,"=""T7663c84""","=""L5875""",
"=""""","=""94.150+""","=""""","=""2.55e+08""",B+,"=""171.3220""","=""184.4908""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3p""","=""3D""","=""1""",1,3,,"=""T7663c84""","=""""",
"=""96.005""","=""96.009""","=""50""","=""2.88e+08""",B,"=""172.1321""","=""185.0459""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3P""","=""2""",3,5,,"=""T7663c84""","=""L5875""",
"=""""","=""100.321+""","=""""","=""4.15e+06""",C+,"=""172.1321""","=""184.4908""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""1""",3,3,,"=""T7663c84""","=""""",
"=""""","=""104.070+""","=""""","=""6.95e+06""",B,"=""172.1321""","=""184.0456""","=""2s2.2p5.3s""","=""1P*""","=""1""","=""2s2.2p5.3p""","=""3D""","=""2""",3,5,,"=""T7663c84""","=""""",
